Rank,State,Population_2011,Growth_Percent_2001_2011,Male,Female,Sex_Ratio,Rural,Urban,Area_Km2,Density_per_km2
1,UP,199812341,16.50,104480510,95331831,930,155111022,44470455,240928,828
2,Mah,112374333,9.28,58243056,54131277,929,61545441,50827531,307713,365
3,Bih,104099452,8.60,54278157,49821295,918,92075028,11729609,94163,1102
4,WB,91276115,7.54,46809027,44467088,950,62213676,29134060,88752,1030
5,MP,72626809,6.00,37612306,35014503,931,52537899,20059666,308245,236
6,TN,72147030,5.96,36137975,36009055,996,37189229,34949729,130058,555
7,Raj,68548437,5.66,35550997,32997440,928,51540236,17080776,342239,201
8,KA,61095297,5.05,30966657,30128640,973,37552529,23578175,191791,319
9,GU,60439692,4.99,31491260,28948432,919,34670817,25712811,196024,308
10,AP,49386799,4.08,24738068,24648731,996,34776389,14610410,160205,308